lemma	pos	feature	variants	reason	source	review_status
имѣти	verb	verb:finite:present:2:pl	имате	Complete the independently reviewed athematic present of the future/deontic auxiliary.	Polivanova 2023 §§532–537, especially the complete present table in §533 and construction note in §536	approved
имѣти	verb	verb:finite:present:3:pl	имѫтъ || имѣютъ	Complete the independently reviewed athematic present of the future/deontic auxiliary while preserving the source-described class-7 alternative.	Polivanova 2023 §§532–537, especially the complete present table in §533 and the 3pl alternative in §534	approved
имѣти	verb	verb:finite:imperfect:1:sg	имѣахъ	Complete the source-described expanded-stem imperfect of the future-in-past auxiliary.	Polivanova 2023 §§532–537, especially §§532 and 534; imperfect terminals §§455–462	approved
имѣти	verb	verb:finite:imperfect:2:sg	имѣаше	Complete the source-described expanded-stem imperfect of the future-in-past auxiliary.	Polivanova 2023 §§532–537, especially §§532 and 534; imperfect terminals §§455–462	approved
имѣти	verb	verb:finite:imperfect:3:sg	имѣаше	Complete the source-described expanded-stem imperfect of the future-in-past auxiliary.	Polivanova 2023 §§532–537, especially §§532 and 534; imperfect terminals §§455–462	approved
имѣти	verb	verb:finite:imperfect:1:du	имѣаховѣ	Complete the source-described expanded-stem imperfect of the future-in-past auxiliary.	Polivanova 2023 §§532–537, especially §§532 and 534; imperfect terminals §§455–462	approved
имѣти	verb	verb:finite:imperfect:2:du	имѣашета	Complete the source-described expanded-stem imperfect of the future-in-past auxiliary.	Polivanova 2023 §§532–537, especially §§532 and 534; imperfect terminals §§455–462	approved
имѣти	verb	verb:finite:imperfect:3:du	имѣашете	Complete the source-described expanded-stem imperfect of the future-in-past auxiliary.	Polivanova 2023 §§532–537, especially §§532 and 534; imperfect terminals §§455–462	approved
имѣти	verb	verb:finite:imperfect:1:pl	имѣахомъ	Complete the source-described expanded-stem imperfect of the future-in-past auxiliary.	Polivanova 2023 §§532–537, especially §§532 and 534; imperfect terminals §§455–462	approved
имѣти	verb	verb:finite:imperfect:2:pl	имѣашете	Complete the source-described expanded-stem imperfect of the future-in-past auxiliary.	Polivanova 2023 §§532–537, especially §§532 and 534; imperfect terminals §§455–462	approved
имѣти	verb	verb:finite:imperfect:3:pl	имѣахѫ	Complete the source-described expanded-stem imperfect of the future-in-past auxiliary.	Polivanova 2023 §§532–537, especially §§532 and 534; imperfect terminals §§455–462	approved
имѣти	verb	verb:finite:aorist:1:sg	имѣхъ	Complete the source-described vowel-stem aorist of the future-in-past auxiliary.	Polivanova 2023 §§532–537, especially the aorist profile in §532; aorist terminals §§455–462	approved
имѣти	verb	verb:finite:aorist:2:sg	имѣ	Complete the source-described vowel-stem aorist of the future-in-past auxiliary.	Polivanova 2023 §§532–537, especially the aorist profile in §532; aorist terminals §§455–462	approved
имѣти	verb	verb:finite:aorist:3:sg	имѣ	Complete the source-described vowel-stem aorist of the future-in-past auxiliary.	Polivanova 2023 §§532–537, especially the aorist profile in §532; aorist terminals §§455–462	approved
имѣти	verb	verb:finite:aorist:1:du	имѣховѣ	Complete the source-described vowel-stem aorist of the future-in-past auxiliary.	Polivanova 2023 §§532–537, especially the aorist profile in §532; aorist terminals §§455–462	approved
имѣти	verb	verb:finite:aorist:2:du	имѣста	Complete the source-described vowel-stem aorist of the future-in-past auxiliary.	Polivanova 2023 §§532–537, especially the aorist profile in §532; aorist terminals §§455–462	approved
имѣти	verb	verb:finite:aorist:3:du	имѣсте	Complete the source-described vowel-stem aorist of the future-in-past auxiliary.	Polivanova 2023 §§532–537, especially the aorist profile in §532; aorist terminals §§455–462	approved
имѣти	verb	verb:finite:aorist:1:pl	имѣхомъ	Complete the source-described vowel-stem aorist of the future-in-past auxiliary.	Polivanova 2023 §§532–537, especially the aorist profile in §532; aorist terminals §§455–462	approved
имѣти	verb	verb:finite:aorist:2:pl	имѣсте	Complete the source-described vowel-stem aorist of the future-in-past auxiliary.	Polivanova 2023 §§532–537, especially the aorist profile in §532; aorist terminals §§455–462	approved
имѣти	verb	verb:finite:aorist:3:pl	имѣшѧ	Complete the source-described vowel-stem aorist of the future-in-past auxiliary.	Polivanova 2023 §§532–537, especially the aorist profile in §532; aorist terminals §§455–462	approved
хотѣти	verb	verb:finite:aorist:1:sg	хотѣхъ	Complete the source-described vowel-stem aorist of the future-in-past auxiliary.	Polivanova 2023 §§550–555, especially the aorist profile in §550 and construction note in §553; aorist terminals §§455–462	approved
хотѣти	verb	verb:finite:aorist:2:sg	хотѣ	Complete the source-described vowel-stem aorist of the future-in-past auxiliary.	Polivanova 2023 §§550–555, especially the aorist profile in §550 and construction note in §553; aorist terminals §§455–462	approved
хотѣти	verb	verb:finite:aorist:3:sg	хотѣ	Complete the source-described vowel-stem aorist of the future-in-past auxiliary.	Polivanova 2023 §§550–555, especially the aorist profile in §550 and construction note in §553; aorist terminals §§455–462	approved
хотѣти	verb	verb:finite:aorist:1:du	хотѣховѣ	Complete the source-described vowel-stem aorist of the future-in-past auxiliary.	Polivanova 2023 §§550–555, especially the aorist profile in §550 and construction note in §553; aorist terminals §§455–462	approved
хотѣти	verb	verb:finite:aorist:2:du	хотѣста	Complete the source-described vowel-stem aorist of the future-in-past auxiliary.	Polivanova 2023 §§550–555, especially the aorist profile in §550 and construction note in §553; aorist terminals §§455–462	approved
хотѣти	verb	verb:finite:aorist:3:du	хотѣсте	Complete the source-described vowel-stem aorist of the future-in-past auxiliary.	Polivanova 2023 §§550–555, especially the aorist profile in §550 and construction note in §553; aorist terminals §§455–462	approved
хотѣти	verb	verb:finite:aorist:1:pl	хотѣхомъ	Complete the source-described vowel-stem aorist of the future-in-past auxiliary.	Polivanova 2023 §§550–555, especially the aorist profile in §550 and construction note in §553; aorist terminals §§455–462	approved
хотѣти	verb	verb:finite:aorist:2:pl	хотѣсте	Complete the source-described vowel-stem aorist of the future-in-past auxiliary.	Polivanova 2023 §§550–555, especially the aorist profile in §550 and construction note in §553; aorist terminals §§455–462	approved
хотѣти	verb	verb:finite:aorist:3:pl	хотѣшѧ	Complete the source-described vowel-stem aorist of the future-in-past auxiliary.	Polivanova 2023 §§550–555, especially the aorist profile in §550 and construction note in §553; aorist terminals §§455–462	approved
