# identity.tsv — the shared lexeme-identity table (docs/UNIFIED_IDENTITY.md).
# generated-by: cargo xtask unified-identity
# High-confidence tier only: unambiguous 1:1 pos-compatible registered-lexeme
# matches from the projection study. Review candidates live in
# identity-candidates.tsv and are NOT identity claims.
abstract_key	pos	ocs_lexeme_id	ocs_citation	ocs_lemma_key	synodal_lexeme_id	synodal_citation
noun:гнѣздо	noun	гнѣздо|noun|ed77938416db2569	гнѣздо	гнѣздо	synodal:noun:wikt-6568ea255d7c	гнѣздо
noun:годъ	noun	годъ|noun|bfd9a473d31589f2	годъ	годъ	synodal:noun:wikt-4cb1c846ffc4	годъ
noun:гора	noun	гора|noun|60763cc444ba72fc	гора	гора	synodal:noun:wikt-fd691ce3ca48	гора
noun:господа	noun	господа|noun|11234a73c79398e8	господа	господа	synodal:noun:wikt-83848429ea44	господа
noun:господинъ	noun	господинъ|noun|2fd65104a5c8caba	господинъ	господинъ	synodal:noun:wikt-5c652bfd3f26	господинъ
noun:господь	noun	господь|noun|ffd0d4841bcc7712	господь	господь	synodal:noun:wikt-ed67a3345df1	господь
noun:гробъ	noun	гробъ|noun|a1df22dac00dfd18	гробъ	гробъ	synodal:noun:wikt-ccfc01108eba	гробъ
noun:гроздъ	noun	гроздъ|noun|b2a579f6d4f904f4	гроздъ	гроздъ	synodal:noun:wikt-75512ff48174	гроздъ
noun:грѣхъ	noun	грѣхъ|noun|e80eba484bc2c476	грѣхъ	грѣхъ	synodal:noun:wikt-f7edd7b689ae	грѣхъ
noun:грѣшьникъ	noun	грѣшьникъ|noun|3ba1324824ad2ba6	грѣшьникъ	грѣшьникъ	synodal:noun:v07-585307dd05dff9c9	грѣшьникъ
noun:дань	noun	дань|noun|59558000e59cbbb3	дань	дань	synodal:noun:wikt-0cf369042ac9	дань
noun:даръ	noun	даръ|noun|fd3e2602d30f9eb1	даръ	даръ	synodal:noun:dar	даръ
noun:дворъ	noun	дворъ|noun|903e37e0bd6392e3	дворъ	дворъ	synodal:noun:wikt-7babd090b258	дворъ
noun:день	noun	дьнь|noun|e7637930621ec1f0	дьнь	дьнь	synodal:noun:day	день
noun:десѧтина	noun	десѧтина|noun|1372adb82d764d45	десѧтина	десѧтина	synodal:noun:v07-14c8473015ffe18c	десѧтина
noun:длань	noun	длань|noun|2833cd7c691dd113	длань	длань	synodal:noun:wikt-4b75495729a3	длань
noun:дльгота	noun	дльгота|noun|d0ca18e09b637537	дльгота	дльгота	synodal:noun:v07-87de0e6dd66c2f80	дльгота
noun:доброта	noun	доброта|noun|f08ab69ad82129b1	доброта	доброта	synodal:noun:wikt-d2523a86a783	доброта
noun:дождь	noun	дъждь|noun|bc8b34e4eb321d5f	дъждь	дъждь	synodal:noun:v06-2bad9587e8b70547	дождь
noun:домъ	noun	домъ|noun|967efa9b23a19730	домъ	домъ	synodal:noun:dom	домъ
noun:дръва	noun	дръва|noun|278e6fcb39e6d576	дръва	дръва	synodal:noun:v07-e739226c9546e1aa	дръва
noun:дръжава	noun	дръжава|noun|72911c9645fea6a6	дръжава	дръжава	synodal:noun:v07-b53e7604042245c2	дръжава
noun:дрѣво	noun	дрѣво|noun|be8fdab97a78898a	дрѣво	дрѣво	synodal:noun:v07-ce9e93f2bbe58085	дрѣво
noun:дубрава	noun	дѫбрава|noun|dc85992db3aa6ad1	дѫбрава	дѫбрава	synodal:noun:v12-dubrava	дꙋбрава
noun:духъ	noun	доухъ|noun|40855f6850dcb338	доухъ	доухъ	synodal:noun:spirit	дꙋхъ
noun:душа	noun	доуша|noun|b6275e4a5196bcc9	доуша	доуша	synodal:noun:v07-549dec12f8aeb0c9	дꙋша
noun:дьбрь	noun	дьбрь|noun|6e1de87ce62fe3bb	дьбрь	дьбрь	synodal:noun:v07-20cbf37da93828ed	дьбрь
noun:дѣвица	noun	дѣвица|noun|185eb65a6a3b8a1b	дѣвица	дѣвица	synodal:noun:wikt-09a36df30ab5	дѣвица
noun:дѣлатель	noun	дѣлател҄ь|noun|ab5f6c7b3b1a082f	дѣлател҄ь	дѣлател҄ь	synodal:noun:wikt-a429d7480a31	дѣлатель
noun:дѣло	noun	дѣло|noun|4d7a177d01a58f62	дѣло	дѣло	synodal:noun:delo	дѣло
noun:дѣти	noun	дѣти|noun|e6de78e2aad7a2be	дѣти	дѣти	synodal:noun:v06-a589a95f8b485bbb	дѣти
noun:дѣтищь	noun	дѣтищь|noun|069fc6a09285d3eb	дѣтищь	дѣтищь	synodal:noun:wikt-6bf7af061673	дѣтищь
noun:епископъ	noun	епископъ|noun|bcbb26583894738b	епископъ	епископъ	synodal:noun:episkop	єпископъ
noun:жезлъ	noun	жьзлъ|noun|1a35de54f819fe8c	жьзлъ	жьзлъ	synodal:noun:v06-3524b116551ebe06	жезлъ
noun:желѣзо	noun	желѣзо|noun|b7f020b7e5a50d6e	желѣзо	желѣзо	synodal:noun:wikt-7d7a5288d389	желѣзо
noun:жена	noun	жена|noun|15ba2a7c763823a6	жена	жена	synodal:noun:zhena	жена
noun:животъ	noun	животъ|noun|b76a02eba3fe997c	животъ	животъ	synodal:noun:wikt-2e0496e36fd3	животъ
noun:жизнь	noun	жизнь|noun|5e259dc5b55b3db9	жизнь	жизнь	synodal:noun:zhizn	жизнь
noun:жилище	noun	жилище|noun|f0747e4e7f0774c6	жилище	жилище	synodal:noun:wikt-a3753d32f6e6	жилище
noun:жито	noun	жито|noun|6e71759c17c70bef	жито	жито	synodal:noun:v07-d46ebb477bfe6837	жито
noun:жрьтва	noun	жрьтва|noun|beebd960b765090b	жрьтва	жрьтва	synodal:noun:v07-068fabd47d16b7a4	жрьтва
noun:жрѣбии	noun	жрѣбии|noun|71f78368cf6f5992	жрѣбии	жрѣбии	synodal:noun:v07-45ef2bf40613fb0d	жрѣбии
noun:зависть	noun	зависть|noun|971d693785d9316f	зависть	зависть	synodal:noun:wikt-7f1b6f1905bb	зависть
noun:завѣтъ	noun	завѣтъ|noun|4f74d0a124e5a3b9	завѣтъ	завѣтъ	synodal:noun:wikt-3bed227ec28b	завѣтъ
noun:зазоръ	noun	зазоръ|noun|94666cda2597f4a8	зазоръ	зазоръ	synodal:noun:wikt-f87119aa55fa	зазоръ
noun:законъ	noun	законъ|noun|3e2021b4a6732300	законъ	законъ	synodal:noun:zakon	законъ
noun:закровъ	noun	закровъ|noun|ae19483254ccf3e6	закровъ	закровъ	synodal:noun:wikt-9e60ca100659	закровъ
noun:западъ	noun	западъ|noun|f4be98f4c80ddd19	западъ	западъ	synodal:noun:wikt-7eec293185a0	западъ
noun:заповѣдь	noun	заповѣдь|noun|561a88c3c79feb33	заповѣдь	заповѣдь	synodal:noun:zapoved	заповѣдь
noun:зачало	noun	зачало|noun|6c6e7402f20f8c29	зачало	зачало	synodal:noun:wikt-217128dc4931	зачало
noun:защититель	noun	защитител҄ь|noun|ec790c5a45635e7c	защитител҄ь	защитител҄ь	synodal:noun:wikt-c20d0b9d2bc9	защититель
noun:звѣрь	noun	звѣрь|noun|05384d3a54014dd9	звѣрь	звѣрь	synodal:noun:v07-39d36c84121a0dd4	звѣрь
noun:землѧ	noun	земл҄ꙗ|noun|60e9a3198ea41ad8	земл҄ꙗ	земл҄ꙗ	synodal:noun:zemlya	землѧ
noun:зима	noun	зима|noun|a98743ef2fd82fbf	зима	зима	synodal:noun:wikt-8a85b1d05c99	зима
noun:злато	noun	злато|noun|c4b6277d10eff2b4	злато	злато	synodal:noun:v07-a615c3c82bac7f9b	злато
noun:знамѧ	noun	знамѧ|noun|414a543ce1d9c99d	знамѧ	знамѧ	synodal:noun:wikt-9e403ba8e97c	знамѧ
noun:зракъ	noun	зракъ|noun|7cbf92835b27fbe3	зракъ	зракъ	synodal:noun:wikt-05a4aa9772c7	зракъ
noun:зълоба	noun	зълоба|noun|38e29fc5e958870d	зълоба	зълоба	synodal:noun:v07-5d84f5e18002f8f8	зълоба
noun:зѧть	noun	зѧть|noun|db83de56e9dd7c55	зѧть	зѧть	synodal:noun:wikt-817be6545c7b	зѧть
noun:игемонъ	noun	игемонъ|noun|1862417b607c2a95	игемонъ	игемонъ	synodal:noun:wikt-d22978bd0517	игемѡнъ
noun:иго	noun	иго|noun|42a2b5961eb52765	иго	иго	synodal:noun:wikt-3a397c4979cb	иго
noun:избавитель	noun	избавител҄ь|noun|96e332d43f0c7330	избавител҄ь	избавител҄ь	synodal:noun:wikt-023680f16755	избавитель
noun:илиѧ	noun	илиꙗ|noun|11970901e970fe16	Илиꙗ	Илиꙗ	synodal:proper-noun:v06-1fc14fc46faec861	Илиꙗ
noun:имѧ	noun	имѧ|noun|753b97464d9e34f7	имѧ	имѧ	synodal:noun:wikt-551a03f1df94	имѧ
noun:исполинъ	noun	исполинъ|noun|598d6ad2318c7430	исполинъ	исполинъ	synodal:noun:wikt-86eaad933b28	исполинъ
noun:истина	noun	истина|noun|c6b200b2a76187ad	истина	истина	synodal:noun:istina	истина
noun:источьникъ	noun	источьникъ|noun|124fd910e66ce081	источьникъ	источьникъ	synodal:noun:v07-6b68e3c8ab1b77c2	источьникъ
noun:иѧковъ	noun	иꙗковъ|noun|494398982075d7bf	Иꙗковъ	Иꙗковъ	synodal:proper-noun:v07-25a23d2233c45069	Иꙗковъ
noun:каженикъ	noun	каженикъ|noun|1e285d7527f1fb07	каженикъ	каженикъ	synodal:noun:wikt-49acf1cda8a5	каженикъ
noun:казнь	noun	казнь|noun|0f96038296fa97d5	казнь	казнь	synodal:noun:wikt-00fc7dcfccbe	казнь
noun:капище	noun	капище|noun|c9cddc33ad6530d0	капище	капище	synodal:noun:wikt-a1a656a49417	капище
noun:квасъ	noun	квасъ|noun|7cab38b000a36152	квасъ	квасъ	synodal:noun:wikt-d4dfbc42cf96	квасъ
noun:класъ	noun	класъ|noun|e71d97343f5e57af	класъ	класъ	synodal:noun:wikt-949f8d24f46c	класъ
noun:клѧтва	noun	клѧтва|noun|1269fe8ad5383504	клѧтва	клѧтва	synodal:noun:wikt-344019576e96	клѧтва
noun:ковьчегъ	noun	ковьчегъ|noun|28bc83e9ef7951af	ковьчегъ	ковьчегъ	synodal:noun:v07-192630368c5da7f3	ковьчегъ
noun:кожа	noun	кожа|noun|24724bb19abea41c	кожа	кожа	synodal:noun:wikt-1348cff35032	кожа
noun:коза	noun	коза|noun|8f941f7baff385c7	коза	коза	synodal:noun:v07-c1cd93a4f1e61aa0	коза
noun:козла	noun	козла|noun|e99d9ddecf7a34b2	козла	козла	synodal:noun:wikt-74918c792dd6	козла
noun:коло	noun	коло|noun|13c1626591271f79	коло	коло	synodal:noun:wikt-ba9b83ba4187	коло
noun:колѣно	noun	колѣно|noun|ef69504aba111acb	колѣно	колѣно	synodal:noun:wikt-512a2b47758d	колѣно
noun:конобъ	noun	конобъ|noun|8138f4d0f620fd7a	конобъ	конобъ	synodal:noun:wikt-9e01e365b0c1	конобъ
noun:коньць	noun	коньць|noun|8365c42b8673e600	коньць	коньць	synodal:noun:v06-12a8217f518604ae	коньць
noun:коньчина	noun	коньчина|noun|73b632d35a9645a2	коньчина	коньчина	synodal:noun:v07-f88ffaaa1f16a260	коньчина
noun:корабль	noun	корабл҄ь|noun|1c62811e40612f5e	корабл҄ь	корабл҄ь	synodal:noun:wikt-1734c53f8298	корабль
noun:кость	noun	кость|noun|79039f3bc1a3d8cf	кость	кость	synodal:noun:wikt-3090f99843dd	кость
noun:краи	noun	краи|noun|012a39e059378279	краи	краи	synodal:noun:wikt-a85269b71b16	краи
noun:красота	noun	красота|noun|e23973f966505bfa	красота	красота	synodal:noun:wikt-9322daf7b953	красота
noun:кратъ	noun	кратъ|noun|ae88a8b0d3bb4f05	кратъ	кратъ	synodal:noun:wikt-bc46dec09111	кратъ
noun:креститель	noun	крьстител҄ь|noun|b17299b911675f18	крьстител҄ь	крьстител҄ь	synodal:noun:krestitel	креститель
noun:крестъ	noun	крьстъ|noun|eb405c1c81891d3b	крьстъ	крьстъ	synodal:noun:krest	крестъ
noun:крило	noun	крило|noun|7406179c2a8228d8	крило	крило	synodal:noun:wikt-63d3fffebc66	крило
noun:кринъ	noun	кринъ|noun|241ecb1d9d7cfb43	кринъ	кринъ	synodal:noun:wikt-95e7e3d90514	крінъ
noun:кровъ	noun	кровъ|noun|419c02b2008d627a	кровъ	кровъ	synodal:noun:wikt-63ff1354644b	кровъ
noun:кротость	noun	кротость|noun|ab45c80055f803bb	кротость	кротость	synodal:noun:wikt-f2f8b6208bb1	кротость
noun:крѣпость	noun	крѣпость|noun|a30dba0673f33f61	крѣпость	крѣпость	synodal:noun:wikt-4994eaa7f539	крѣпость
noun:кънижьникъ	noun	кън҄ижьникъ|noun|6217e04b9fd3bb2e	кън҄ижьникъ	кън҄ижьникъ	synodal:noun:v07-351d57ed239f1dde	кънижьникъ
noun:кѵпръ	noun	к҄ѵпръ|noun|d8e3461cb3ce2fcc	к҄ѵпръ	к҄ѵпръ	synodal:proper-noun:wikt-d27a3f2e1995	кѵпръ
noun:лакоть	noun	лакъть|noun|2ece1cb1daaa740c	лакъть	лакъть	synodal:noun:v12-lakot	лакоть
noun:легеонъ	noun	лег҄еонъ|noun|26570cb65575aa3f	лег҄еонъ	лег҄еонъ	synodal:noun:wikt-53bd0a6941e5	легеѡнъ
noun:ледъ	noun	ледъ|noun|0ff508077a053cae	ледъ	ледъ	synodal:noun:wikt-c8923787d4f4	ледъ
noun:лесть	noun	льсть|noun|6cbc540e60a96a47	льсть	льсть	synodal:noun:v06-b23133f0dc954885	лесть
noun:ликъ	noun	ликъ|noun|ee2254fc296b64e2	ликъ	ликъ	synodal:noun:wikt-49b7c283f575	ликъ
noun:листъ	noun	листъ|noun|49b7c9bf67cac069	листъ	листъ	synodal:noun:wikt-26040ed02071	листъ
noun:лице	noun	лице|noun|e6a53c3bbaecd552	лице	лице	synodal:noun:wikt-bcfe43fd2077	лице
noun:лицемѣръ	noun	лицемѣръ|noun|be1b4c9739d04b36	лицемѣръ	лицемѣръ	synodal:noun:v07-6cab63b281c7dae6	лицемѣръ
