lexeme_id	sense_id	cell	expanded	printed	rule_id	evidence_id	reversible	required_marks	context_restrictions	ambiguity	source_recension	target_recension
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:dative:singular:feminine:animate:short:positive	божїи	бж҃їи	SYN-ABBR-BOZHII-II-DAT-SG-F-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; feminine dative singular animate agreement	homographic locative and plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:dative:singular:feminine:inanimate:short:positive	божїи	бж҃їи	SYN-ABBR-BOZHII-II-DAT-SG-F-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; feminine dative singular inanimate agreement	homographic locative and plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:dative:singular:masculine:inanimate:short:positive	божїю	бж҃їю	SYN-ABBR-BOZHII-IYU-DAT-SG-M	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; masculine dative singular agreement	homographic feminine accusative remains visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:dative:singular:neuter:inanimate:short:positive	божїю	бж҃їю	SYN-ABBR-BOZHII-IYU-DAT-SG-N	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; neuter dative singular agreement	homographic feminine accusative remains visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:genitive:plural:feminine:animate:short:positive	божїихъ	бж҃їихъ	SYN-ABBR-BOZHII-IIKH-GEN-PL-F-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; feminine genitive plural animate agreement	homographic locative plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:genitive:plural:feminine:inanimate:short:positive	божїихъ	бж҃їихъ	SYN-ABBR-BOZHII-IIKH-GEN-PL-F-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; feminine genitive plural inanimate agreement	homographic locative plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:genitive:plural:masculine:animate:short:positive	божїихъ	бж҃їихъ	SYN-ABBR-BOZHII-IIKH-GEN-PL-M-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; masculine genitive plural animate agreement	homographic locative plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:genitive:plural:masculine:inanimate:short:positive	божїихъ	бж҃їихъ	SYN-ABBR-BOZHII-IIKH-GEN-PL-M-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; masculine genitive plural inanimate agreement	homographic locative plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:genitive:plural:neuter:animate:short:positive	божїихъ	бж҃їихъ	SYN-ABBR-BOZHII-IIKH-GEN-PL-N-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; neuter genitive plural animate agreement	homographic locative plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:genitive:plural:neuter:inanimate:short:positive	божїихъ	бж҃їихъ	SYN-ABBR-BOZHII-IIKH-GEN-PL-N-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; neuter genitive plural inanimate agreement	homographic locative plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:genitive:singular:feminine:animate:short:positive	божїѧ	бж҃їѧ	SYN-ABBR-BOZHII-IYA-GEN-SG-F-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; feminine genitive singular animate agreement	homographic nominative cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:genitive:singular:feminine:inanimate:short:positive	божїѧ	бж҃їѧ	SYN-ABBR-BOZHII-IYA-GEN-SG-F-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; feminine genitive singular inanimate agreement	homographic nominative cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:genitive:singular:masculine:animate:short:positive	божїѧ	бж҃їѧ	SYN-ABBR-BOZHII-IYA-GEN-SG-M-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; masculine genitive singular animate agreement	homographic animate accusative remains visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:genitive:singular:masculine:inanimate:short:positive	божїѧ	бж҃їѧ	SYN-ABBR-BOZHII-IYA-GEN-SG-M-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; masculine genitive singular inanimate agreement	homographic animate accusative remains visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:genitive:singular:neuter:inanimate:short:positive	божїѧ	бж҃їѧ	SYN-ABBR-BOZHII-IYA-GEN-SG-N-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; neuter genitive singular inanimate agreement	homographic plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:instrumental:singular:masculine:animate:short:positive	божїимъ	бж҃їимъ	SYN-ABBR-BOZHII-IIM-INS-SG-M-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; masculine instrumental singular animate agreement	homographic dative plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:instrumental:singular:masculine:inanimate:short:positive	божїимъ	бж҃їимъ	SYN-ABBR-BOZHII-IIM-INS-SG-M-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; masculine instrumental singular inanimate agreement	homographic dative plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:instrumental:singular:neuter:animate:short:positive	божїимъ	бж҃їимъ	SYN-ABBR-BOZHII-IIM-INS-SG-N-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; neuter instrumental singular animate agreement	homographic dative plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:instrumental:singular:neuter:inanimate:short:positive	божїимъ	бж҃їимъ	SYN-ABBR-BOZHII-IIM-INS-SG-N-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; neuter instrumental singular inanimate agreement	homographic dative plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:locative:plural:feminine:animate:short:positive	божїихъ	бж҃їихъ	SYN-ABBR-BOZHII-IIKH-LOC-PL-F-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; feminine locative plural animate agreement	homographic genitive plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:locative:plural:feminine:inanimate:short:positive	божїихъ	бж҃їихъ	SYN-ABBR-BOZHII-IIKH-LOC-PL-F-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; feminine locative plural inanimate agreement	homographic genitive plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:locative:plural:masculine:animate:short:positive	божїихъ	бж҃їихъ	SYN-ABBR-BOZHII-IIKH-LOC-PL-M-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; masculine locative plural animate agreement	homographic genitive plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:locative:plural:masculine:inanimate:short:positive	божїихъ	бж҃їихъ	SYN-ABBR-BOZHII-IIKH-LOC-PL-M-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; masculine locative plural inanimate agreement	homographic genitive plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:locative:plural:neuter:animate:short:positive	божїихъ	бж҃їихъ	SYN-ABBR-BOZHII-IIKH-LOC-PL-N-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; neuter locative plural animate agreement	homographic genitive plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:locative:plural:neuter:inanimate:short:positive	божїихъ	бж҃їихъ	SYN-ABBR-BOZHII-IIKH-LOC-PL-N-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; neuter locative plural inanimate agreement	homographic genitive plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:locative:singular:feminine:animate:short:positive	божїи	бж҃їи	SYN-ABBR-BOZHII-II-LOC-SG-F-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; feminine locative singular animate agreement	homographic plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:locative:singular:feminine:inanimate:short:positive	божїи	бж҃їи	SYN-ABBR-BOZHII-II-LOC-SG-F-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; feminine locative singular inanimate agreement	homographic plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:locative:singular:masculine:animate:short:positive	божїи	бж҃їи	SYN-ABBR-BOZHII-II-LOC-SG-M-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; masculine locative singular animate agreement	homographic plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:locative:singular:masculine:inanimate:short:positive	божїи	бж҃їи	SYN-ABBR-BOZHII-II-LOC-SG-M-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; masculine locative singular inanimate agreement	homographic plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:locative:singular:neuter:animate:short:positive	божїи	бж҃їи	SYN-ABBR-BOZHII-II-LOC-SG-N-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; neuter locative singular animate agreement	homographic plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:locative:singular:neuter:inanimate:short:positive	божїи	бж҃їи	SYN-ABBR-BOZHII-II-LOC-SG-N-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; neuter locative singular inanimate agreement	homographic plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:nominative:plural:masculine:animate:short:positive	божїи	бж҃їи	SYN-ABBR-BOZHII-II-NOM-PL-M-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; masculine nominative plural animate agreement	homographic dative or locative cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:nominative:plural:masculine:inanimate:short:positive	божїи	бж҃їи	SYN-ABBR-BOZHII-II-NOM-PL-M-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; masculine nominative plural inanimate agreement	homographic dative or locative cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:nominative:singular:feminine:animate:short:positive	божїѧ	бж҃їѧ	SYN-ABBR-BOZHII-IYA-NOM-SG-F-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; feminine nominative singular animate agreement	homographic genitive and dual or plural cells remain visible when supported	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:nominative:singular:feminine:inanimate:short:positive	божїѧ	бж҃їѧ	SYN-ABBR-BOZHII-IYA-NOM-SG-F-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; feminine nominative singular inanimate agreement	homographic genitive and dual or plural cells remain visible when supported	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:nominative:singular:masculine:animate:short:positive	божїй	бж҃їй	SYN-ABBR-BOZHII-IY-NOM-SG-M-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; masculine nominative singular animate agreement	only table-licensed exact cells are admitted	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:nominative:singular:masculine:inanimate:short:positive	божїй	бж҃їй	SYN-ABBR-BOZHII-IY-NOM-SG-M-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; masculine nominative singular inanimate agreement	only table-licensed exact cells are admitted	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:nominative:singular:neuter:inanimate:short:positive	божїе	бж҃їе	SYN-ABBR-BOZHII-IE-NOM-SG-N	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; neuter nominative singular agreement	homographic neuter accusative remains visible	synodal-russian	synodal-russian
synodal:adjective:gospoden	sense:v05:adjective:gospoden	adjective:accusative:singular:feminine:inanimate:short:positive	господню	гдⷭ҇ню	SYN-ABBR-GOSPODEN-NYU-ACC-SG-F	v05-alypy-gospoden-nyu,v05-target-gospoden-nyu	false	titlo,superscript-s,pokrytie	possessive adjective of the Lord; feminine accusative singular agreement	homographic dative singular cells remain visible	synodal-russian	synodal-russian
synodal:adjective:gospoden	sense:v05:adjective:gospoden	adjective:dative:singular:masculine:inanimate:short:positive	господню	гдⷭ҇ню	SYN-ABBR-GOSPODEN-NYU-DAT-SG-M	v05-alypy-gospoden-nyu,v05-target-gospoden-nyu	false	titlo,superscript-s,pokrytie	possessive adjective of the Lord; masculine dative singular agreement	homographic feminine accusative remains visible	synodal-russian	synodal-russian
synodal:adjective:gospoden	sense:v05:adjective:gospoden	adjective:genitive:plural:masculine:animate:short:positive	господнихъ	гдⷭ҇нихъ	SYN-ABBR-GOSPODEN-NIKH-GEN-PL-M-AN	v05-alypy-gospoden-nikh,v05-target-gospoden-nikh	false	titlo,superscript-s,pokrytie	possessive adjective of the Lord; masculine genitive plural animate agreement	homographic locative plural cells remain visible	synodal-russian	synodal-russian
synodal:adjective:gospoden	sense:v05:adjective:gospoden	adjective:instrumental:singular:neuter:inanimate:short:positive	господнимъ	гдⷭ҇нимъ	SYN-ABBR-GOSPODEN-NIM-INS-SG-N	v05-alypy-gospoden-nim,v05-target-gospoden-nim	false	titlo,superscript-s,pokrytie	possessive adjective of the Lord; neuter instrumental singular agreement	other homographic number cells require independent evidence	synodal-russian	synodal-russian
synodal:adjective:gospoden	sense:v05:adjective:gospoden	adjective:nominative:plural:masculine:animate:short:positive	господни	гдⷭ҇ни	SYN-ABBR-GOSPODEN-NI-NOM-PL-M-AN	v05-alypy-gospoden-ni,v05-target-gospoden-ni	false	titlo,superscript-s,pokrytie	possessive adjective of the Lord; masculine nominative plural animate agreement	homographic locative singular cells remain visible	synodal-russian	synodal-russian
synodal:adjective:gospoden	sense:v05:adjective:gospoden	adjective:nominative:singular:feminine:inanimate:short:positive	господнѧ	гдⷭ҇нѧ	SYN-ABBR-GOSPODEN-NYA-NOM-SG-F-IN	v05-alypy-gospoden-nya,v05-target-gospoden-nya	false	titlo,superscript-s,pokrytie	possessive adjective of the Lord; feminine nominative singular inanimate agreement	homographic genitive and accusative cells remain visible	synodal-russian	synodal-russian
synodal:adjective:gospoden	sense:v05:adjective:gospoden	adjective:nominative:singular:masculine:animate:short:positive	господень	гдⷭ҇ень	SYN-ABBR-GOSPODEN-NOM-SG	v05-alypy-gospoden,v05-abbr-gospoden	false	titlo,superscript-s,pokrytie	possessive adjective of the Lord; masculine nominative singular agreeing with angel	noun господь contractions remain a distinct identity	synodal-russian	synodal-russian
synodal:adjective:gospoden	sense:v05:adjective:gospoden	adjective:nominative:singular:neuter:inanimate:short:positive	господне	гдⷭ҇не	SYN-ABBR-GOSPODEN-NE-NOM-SG-N	v05-alypy-gospoden-ne,v05-target-gospoden-ne	false	titlo,superscript-s,pokrytie	possessive adjective of the Lord; neuter nominative singular agreement	homographic neuter accusative remains visible	synodal-russian	synodal-russian
synodal:adjective:svyat	sense:holy	adjective:accusative:plural:neuter:inanimate:long:positive	свѧтаѧ	ст҃а̑ѧ	SYN-ABBR-HOLY-ACC-PL-NEUT	alypy-3-abbreviation-inventory,v05-abbr-holy-neuter-pl	false	titlo	holy adjective; neuter accusative plural long form with plural camora	nominative plural remains independently compatible where syntax supports it	synodal-russian	synodal-russian
synodal:adjective:svyat	sense:holy	adjective:accusative:singular:neuter:inanimate:long:positive	свѧтое	ст҃о́е	SYN-ABBR-HOLY-ACC-SG-NEUT	alypy-3-abbreviation-inventory,v05-abbr-holy-neuter	false	titlo	holy adjective; neuter accusative singular long form	homographic nominative remains separately compatible	synodal-russian	synodal-russian
synodal:adjective:svyat	sense:holy	adjective:genitive:plural:masculine:animate:long:positive	свѧтыхъ	ст҃ы́хъ	SYN-ABBR-HOLY-GEN-PL	alypy-3-abbreviation-inventory,v05-abbr-holy-gen-pl	false	titlo	holy adjective; masculine animate genitive plural witness	other genders or cases require their own evidence	synodal-russian	synodal-russian
synodal:adjective:svyat	sense:holy	adjective:genitive:singular:masculine:animate:long:positive	свѧтаго	ст҃а́го	SYN-ABBR-HOLY-GEN-SG-GO	alypy-3-abbreviation-inventory,v05-abbr-holy-gen-go	false	titlo	holy adjective; masculine genitive singular -го variant	animate accusative remains separate where supported	synodal-russian	synodal-russian
synodal:adjective:svyat	sense:holy	adjective:genitive:singular:masculine:animate:long:positive	свѧтагѡ	ст҃а́гѡ	SYN-ABBR-HOLY-GEN-SG-GOMEGA	alypy-3-abbreviation-inventory,v05-abbr-holy-gen-gomega	false	titlo	holy adjective; masculine genitive singular -гѡ variant	animate accusative remains separate where supported	synodal-russian	synodal-russian
synodal:adjective:svyat	sense:holy	adjective:genitive:singular:masculine:animate:short:positive	свѧта	ст҃а	SYN-ABBR-HOLY-GEN-SG-SHORT	alypy-3-abbreviation-inventory,v05-abbr-holy-gen-short	false	titlo	holy adjective; masculine genitive singular short form	exact contracted cell only	synodal-russian	synodal-russian
synodal:adjective:svyat	sense:holy	adjective:instrumental:singular:masculine:animate:long:positive	свѧтымъ	ст҃ы́мъ	SYN-ABBR-HOLY-INS-SG	alypy-3-abbreviation-inventory,v05-abbr-holy-ins	false	titlo	holy adjective; masculine instrumental singular agreeing with Spirit	dative plural requires separate context	synodal-russian	synodal-russian
synodal:adjective:svyat	sense:holy	adjective:nominative:plural:neuter:inanimate:long:positive	свѧтаѧ	ст҃а̑ѧ	SYN-ABBR-HOLY-NOM-PL-NEUT	alypy-3-abbreviation-inventory,v05-abbr-holy-neuter-pl	false	titlo	holy adjective; neuter nominative plural long form with plural camora	accusative plural remains independently compatible	synodal-russian	synodal-russian
synodal:adjective:svyat	sense:holy	adjective:nominative:singular:masculine:animate:long:positive	свѧтый	ст҃ы́й	SYN-ABBR-HOLY-NOM-SG-LONG	alypy-3-abbreviation-inventory,v05-abbr-holy-nom	false	titlo	holy adjective; masculine nominative singular long form	exact contracted cell only	synodal-russian	synodal-russian
synodal:adjective:svyat	sense:holy	adjective:nominative:singular:masculine:inanimate:short:positive	свѧтъ	ст҃ъ	SYN-ABBR-HOLY-NOM-SG-SHORT	alypy-3-abbreviation-inventory,v05-abbr-holy-short	false	titlo	holy adjective; masculine nominative singular short form	exact contracted cell only	synodal-russian	synodal-russian
synodal:adjective:svyat	sense:holy	adjective:nominative:singular:neuter:inanimate:long:positive	свѧтое	ст҃о́е	SYN-ABBR-HOLY-NOM-SG-NEUT	alypy-3-abbreviation-inventory,v05-abbr-holy-neuter	false	titlo	holy adjective; neuter nominative singular long form	homographic accusative remains separately compatible	synodal-russian	synodal-russian
synodal:adjective:v06-israel	sense:v06:israel-adjective	adjective:dative:plural:masculine:any:long:positive	израилєвымъ	і҆и҃лєвымъ	SYN-ABBR-V06-ISRAEL-ADJ-DAT-PL	v06-manual-alypy-israel,v06-manual-target-israel-adj-dat-pl	false	initial-breathing,titlo	Israel proper-name or relational-adjective identity in the exact listed cell only; lowercase liturgical contraction	surface may have unsupported case or adjective alternatives outside the listed exact cell	synodal-russian	synodal-russian
synodal:adjective:v06-israel	sense:v06:israel-adjective	adjective:dative:singular:masculine:any:short:positive	израилевꙋ	і҆и҃левꙋ	SYN-ABBR-V06-ISRAEL-ADJ-DAT-SG	v06-manual-alypy-israel,v06-manual-target-israel-adj-dat-sg	false	initial-breathing,titlo	Israel proper-name or relational-adjective identity in the exact listed cell only; lowercase liturgical contraction	surface may have unsupported case or adjective alternatives outside the listed exact cell	synodal-russian	synodal-russian
synodal:adjective:v06-israel	sense:v06:israel-adjective	adjective:genitive:plural:masculine:any:long:positive	израилевыхъ	і҆и҃левыхъ	SYN-ABBR-V06-ISRAEL-ADJ-GEN-PL	v06-manual-alypy-israel,v06-manual-target-israel-adj-gen-pl	false	initial-breathing,titlo	Israel proper-name or relational-adjective identity in the exact listed cell only; lowercase liturgical contraction	surface may have unsupported case or adjective alternatives outside the listed exact cell	synodal-russian	synodal-russian
synodal:adjective:v06-israel	sense:v06:israel-adjective	adjective:nominative:plural:masculine:any:short:positive	израилєвы	і҆и҃лєвы	SYN-ABBR-V06-ISRAEL-ADJ-NOM-PL	v06-manual-alypy-israel,v06-manual-target-israel-adj-nom-pl,v06-manual-alypy-israel-instrumental	false	initial-breathing,titlo	Israel proper-name or relational-adjective identity in the exact listed cell only; lowercase liturgical contraction	surface may have unsupported case or adjective alternatives outside the listed exact cell	synodal-russian	synodal-russian
synodal:adjective:v06-israel	sense:v06:israel-adjective	adjective:nominative:singular:feminine:any:short:positive	израилева	і҆и҃лева	SYN-ABBR-V06-ISRAEL-ADJ-NOM-SG-F	v06-manual-alypy-israel,v06-manual-target-israel-adj-nom-sg-f	false	initial-breathing,titlo	Israel proper-name or relational-adjective identity in the exact listed cell only; lowercase liturgical contraction	surface may have unsupported case or adjective alternatives outside the listed exact cell	synodal-russian	synodal-russian
synodal:adjective:v06-israel	sense:v06:israel-adjective	adjective:nominative:singular:masculine:any:short:positive	израилевъ	і҆и҃левъ	SYN-ABBR-V06-ISRAEL-ADJ-NOM-SG-M	v06-manual-alypy-israel,v06-manual-target-israel-adj-nom-sg-m	false	initial-breathing,titlo	Israel proper-name or relational-adjective identity in the exact listed cell only; lowercase liturgical contraction	surface may have unsupported case or adjective alternatives outside the listed exact cell	synodal-russian	synodal-russian
synodal:adverb:nynye	sense:v06:adverb:nynye	indeclinable	нынѣ	нн҃ѣ	SYN-ABBR-NYNYE	v06-alypy-nynye-adverb,v06-alypy-nynye-expanded,v06-target-nynye-abbreviation	false	titlo	exact temporal adverb identity; standalone token only	the contraction is not reversible without the reviewed exact registry row	synodal-russian	synodal-russian
synodal:noun:angel	sense:v05:noun:angel	noun:accusative:singular:animate	ангела	а҆́гг҃ла	SYN-ABBR-ANGEL-ACC-SG	alypy-3-abbreviation-inventory,v05-abbr-angel-gen	false	initial-breathing,titlo	reverential angel identity; animate accusative compatible analysis	homographic with genitive and both remain visible	synodal-russian	synodal-russian
