id	lemma	part_of_speech	class	stem	gender	aspect	source_id	target_recension
synodal:noun:delo	дѣло	noun	first-hard-n	дѣл	neuter		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:slava	слава	noun	second-hard	слав	feminine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:sila	сила	noun	second-hard	сил	feminine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:voda	вода	noun	second-hard	вод	feminine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:vera	вѣра	noun	second-hard	вѣр	feminine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:istina	истина	noun	second-hard	истин	feminine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:glava	глава	noun	second-hard	глав	feminine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:molitva	молитва	noun	second-hard	молитв	feminine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:volya	волѧ	noun	second-soft	вол	feminine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:pustynya	пустынѧ	noun	second-soft	пустын	feminine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:milost	милость	noun	third-f	милост	feminine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:lyubov	любовь	noun	third-f	любов	feminine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:zhizn	жизнь	noun	third-f	жизн	feminine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:noch	ночь	noun	third-f	ноч	feminine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:adjective:mudr	мꙋдръ	adjective	hard-short	мꙋдр			alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:adjective:svyat	свѧтъ	adjective	hard-short	свѧт			alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:adjective:pravedn	праведнъ	adjective	hard-short	праведн			alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:adjective:vechn	вѣчнъ	adjective	hard-short	вѣчн			alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:adjective:nebesn	небеснъ	adjective	hard-short	небесн			alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:adjective:blazhenn	блаженнъ	adjective	hard-short	блаженн			alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:adjective:greshn	грѣшнъ	adjective	hard-short	грѣшн			alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:verb:nesti	нести	verb	first-unpalatalized	нес		imperfective	alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:verb:pisati	писати	verb	first-palatalized	пиш		imperfective	alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:verb:lyubiti	любити	verb	second	люб		imperfective	alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:verb:byti	быти	verb	archaic			biaspectual	alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:verb:imati	имати	verb	archaic			imperfective	alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:verb:dati	дати	verb	archaic			perfective	alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:pronoun:toi	той	pronoun	exact				alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:pronoun:az	азъ	pronoun	exact				alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:pronoun:ty	ты	pronoun	exact				alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:pronoun:sei	сей	pronoun	exact				alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:pronoun:izhe	иже	pronoun	exact				alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:pronoun:kto	кто	pronoun	exact				alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:pronoun:chto	что	pronoun	exact				alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:pronoun:nekto	нѣкто	pronoun	exact				alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:determiner:vsyak	всѧкъ	determiner	exact				alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:determiner:sam	самъ	determiner	determiner-hard	сам			alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:numeral:dva	два	numeral	exact				alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:numeral:tri	три	numeral	exact				alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:numeral:chetyre	четыре	numeral	exact				alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:numeral:pervyi	первый	numeral	ordinal-hard	перв			alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:numeral:vtoryi	вторый	numeral	ordinal-hard	втор			alypy-gamanovich-grammar-web-2023	synodal-russian
