review_id	lane	lexeme_id	sense_id	cell	expanded	printed	base_printed	base_evidence_id	predicted_unique_tokens	source_id	source_candidate_id	source_passage	evaluation_source_id	evaluation_candidate_id	evaluation_passage	decision	review_note
variant:v07:chad	exact-form	synodal:noun:v07-1678bbc390ba1d53		noun:genitive:plural:animate	чадъ	ча̑дъ	ча́дъ	review:v07:83c3cb5b0f09baaa,v07-source-16470ba0c9a05b2d,v07-target-4c432561cf17c79a	116	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:16bf1b1ed13ab8fadd62ff36	Acts.21.21	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:5fa564dfbfe978fdd31a056a	Eph.6.4	admitted	The reviewed animate genitive plural cell is unchanged; source and held-out passages independently confirm the kamora surface.
variant:v07:napisa	exact-form	synodal:verb:wikt-ffe65f68245a		aorist:third:singular	написа	написа̀	Написа́	v07-source-a1f73d7fec84bef4,v07-target-48674ece50c5d297	113	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:5a7c31b97cd35431a440de04	Baruch.1.1	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:5a4d7dd576bf505966dbf927	Dan.6.25	admitted	The reviewed third-singular aorist cell is retained; source and held-out passages independently confirm the lowercase varia surface.
variant:v07:nynye-capital	abbreviation	synodal:adverb:nynye	sense:v06:adverb:nynye	indeclinable	нынѣ	Нн҃ѣ	нн҃ѣ	v06-alypy-nynye-adverb,v06-alypy-nynye-expanded,v06-target-nynye-abbreviation	105	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:de31d6097495174499c3111b	Col.3.8	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:caff20a4b607afc7b55d071c	Col.1.24	admitted	The established exact нынѣ contraction keeps its titlo, expansion, and indeclinable restriction; only the independently witnessed initial capitalization is added.
variant:v07:bog-capital	abbreviation	synodal:noun:bog	sense:deity:christian	noun:nominative:singular:animate	богъ	Бг҃ъ	бг҃ъ	alypy-3-titlo-abbreviations	98	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:713dd185ed38bd90eb013981	Acts.7.2	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:23323c9ce807e3e5fc394d64	Ex.13.21	admitted	The established exact Christian-deity nominative contraction keeps its expansion, cell, titlo, and semantic restriction; only independently witnessed capitalization is added.
variant:v07:pozhive	exact-form	synodal:verb:v07-c9fc2b3da9c08eb2		aorist:third:singular	поживе	поживѐ	Поживе́	review:v07:65336d7ecfd32bde,v07-source-5891cda1fb4390eb,v07-target-b30de6ad71f0aa8e	94	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:f2fa65322f8dad11e9a007b2	Baruch.3.38	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:73386e9515bbaf5d22581f4d	Gen.5.28	admitted	The reviewed third-singular aorist cell is retained; independent passages confirm the lowercase varia surface.
variant:v07:glagola-capital	abbreviation	synodal:verb:wikt-833c90610c4d	sense:v03:833c90610c4d	aorist:third:singular	глагола	Гл҃а	гл҃а	alypy-3-abbreviation-inventory,ponomar-acts-9-27-glagol-a-abbreviation	80	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:e3245089ccd3cf8e3526986b	Acts.7.6	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:39c573db4d4b168a01d0a75d	Jn.2.4	admitted	The established exact third-singular contraction keeps its expansion, typed cell, and titlo; only the independently witnessed initial capitalization is added.
variant:v07:sokhrani	exact-form	synodal:verb:v07-f655c8a4d4cdebda		imperative:second:singular	сохрани	сохранѝ	Сохрани́	review:v07:b02b0084bf7ca28a,v07-source-d9082342ceac8354,v07-target-68ce3062890bf24f	78	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:a71929201720138c2d2d725d	Deut.23.23	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:b77cb725fa2f44fdaeeb9434	III_Esdra.14.47	admitted	The reviewed second-singular imperative cell is retained; independent passages confirm the lowercase varia surface.
variant:v07:lyubve	exact-form	synodal:noun:v07-c56f014c9d6102d1		noun:genitive:singular:inanimate	любве	любвѐ	любве́	review:v07:3b369133194baa43,v07-source-95bef2ffbd22b2f5,v07-target-1591095396aaa0e8	62	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:2b3e28dff82784eb9fc8d894	Col.1.13	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:ed00f3e40bea2f1108b6900c	Heb.10.24	admitted	The reviewed genitive singular cell is unchanged; independent target passages confirm the varia surface in genitive contexts.
variant:v07:usty-monograph	exact-form	synodal:noun:wikt-329fdac29b56		noun:instrumental:plural:inanimate	ᲂусты	ᲂу҆сты̑	ᲂу҆сты̀	v07-source-549871081cc48959,v07-target-ae8961cfa5154575	48	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:b4517f7136e1d82c8d7178fe	II_Paral.18.12	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:44d465300432b0dc1ae2afcb	Acts.1.16	admitted	The reviewed instrumental plural cell is unchanged; both passage-disjoint witnesses confirm the kamora surface after an instrumental construction.
variant:v07:oltari	exact-form	synodal:noun:v07-316703a3d6b168cf		noun:locative:singular:inanimate	ѻлтари	ѻ҆лтарѝ	ѻ҆лтари̑	review:v07:9876ffde291b79b2,v07-source-961aec6ae8760184,v07-target-5b5bf40aedb7192f	47	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:578b536b3e26217e2864c9a0	Apoc.8.5	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:85c88330e96b0e8493af36f6	Ex.29.38	admitted	The reviewed locative singular cell is unchanged; both source and held-out passages use the varia form after на.
variant:v07:zlata	exact-form	synodal:noun:v07-a615c3c82bac7f9b		noun:genitive:singular:inanimate	злата	зла̑та	зла́та	review:v07:bf2f18f531b30939,v07-source-dbcef262bd607eff,v07-target-485e7106dc5aa3c5	44	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:364b077334083f4f12aac0e1	Esther.1.7	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:2a0d0d2ca9745a996c96cbdf	Ex.25.18	admitted	The reviewed genitive singular cell is unchanged; independent passages confirm the kamora surface in genitive constructions.
variant:v07:usty-digraph	exact-form	synodal:noun:wikt-329fdac29b56		noun:instrumental:plural:inanimate	ѹсты	ѹ҆сты̀	ѹ҆́сты̑	v07-source-320e7720abd70d68,v07-target-6d752193d6b49439	43	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:b11b6116fcc10b5c1d700b74	Psalm.49.16	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:ca46157792aafa3af427c0b8	Ezek.35.13	admitted	The reviewed instrumental plural cell is unchanged; independent target passages confirm the varia digraph surface with instrumental modifiers.
variant:v07:cheloveki	exact-form	synodal:noun:human		noun:nominative:plural:animate	человѣки	человѣ̑ки	человѣ́ки	alypy-34-human-table,v05-source-form-1ca5e07c971771ce	40	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:f2fa65322f8dad11e9a007b2	Baruch.3.38	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:23835bf56529d6c9d2f6014b	Acts.24.16	admitted	The established animate nominative plural cell is unchanged; the source and held-out sentences independently use the kamora surface as their subject.
variant:v07:gory-gen-sg	exact-form	synodal:noun:wikt-fd691ce3ca48		noun:genitive:singular:inanimate	горы	горы̀	Го́ры	v07-source-05d3b68f08a29041,v07-target-351e0c55dd8cba1a	259	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:912426674a0cbcc9aa02e112	Judg.3.3	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:0619f1dcb58f0e9d9e85ba21	Judg.2.9	admitted	Both passage-disjoint witnesses govern the mountain noun as genitive singular after ѿ; this admits only the exact lowercase varia surface for the existing reviewed cell.
variant:v07:yazyk-gen-pl-kamora	exact-form	synodal:noun:yazyk		noun:genitive:plural:inanimate	ꙗзыкъ	ꙗ҆зы̑къ	ꙗ҆зы́къ	v07-source-e853f7054f467949,v07-target-f39919c603498cdc	186	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:0092b1309a7fd8db9a4797c1	Nehem.4.12	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:df3ac5276cc3e5c51b0cc619	Gal.2.15	admitted	The source and held-out passages independently use ѿ plus the genitive plural of nation; the reviewed identity and cell are retained exactly.
variant:v07:otpusti-aor-3sg	exact-form	synodal:verb:v07-b4d42124734cba64		aorist:third:singular	ѿпꙋсти	ѿпꙋстѝ	Ѿпꙋсти́	review:v07:8a2912de609221b3,v07-source-eb4eb3e7c97ab771,v07-target-4241776bd210fc8b	142	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:d738a71ecddefe47cb3dc892	Judg.11.38	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:962c422aba9d6c992db14c76	Judg.2.6	admitted	Named third-person subjects in both independent passages establish the third-singular aorist; the homographic imperative is not inferred.
variant:v07:reki-gen-sg	exact-form	synodal:noun:wikt-1366b7801c1c		noun:genitive:singular:inanimate	рѣки	рѣкѝ	рѣ́ки	v07-source-8f5f8882bad56e51,v07-target-2e8c2671d6bb2c0c	130	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:7c6e547e6e86fa5fc7b2b73e	I_Macc.3.32	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:3cee53df5fb3ae1eafaeb36b	Nehem.3.7	admitted	Both bounded geographical constructions independently require the genitive singular of river; only the attested varia surface is added.
variant:v07:voprosi-aor-3sg	exact-form	synodal:verb:v07-b54cd915d3b0db0c		aorist:third:singular	вопроси	вопросѝ	Вопроси́	review:v07:fb1ba47f99a82661,v07-source-915b9bea2d55213f,v07-target-4a2bf05a965a09a5	115	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:45e0072dd4a81286943b3788	Judg.8.14	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:1d3cf7247d058f0da244ac78	Lk.23.6	admitted	The narrative subjects independently establish third-singular aorist readings; the identical imperative surface is not licensed by this row.
variant:v07:myasa-acc-pl	exact-form	synodal:noun:wikt-0e8f360a6d3d		noun:accusative:plural:inanimate	мѧса	мѧса̀	мѧ́са	v07-source-7dfe46475242a86c,v07-target-c549bbc7d5ee982b	112	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:8cad61493fe92453fe957c3a	Judg.6.20	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:465aa5929f9e27b3e2e19649	Judg.6.19	admitted	Both independent passages place the meat noun as the direct object of an imperative or finite verb, confirming the existing accusative plural cell.
variant:v07:posla-aor-3sg-acute	exact-form	synodal:verb:v06-55cc70e240bb7ee2		aorist:third:singular	посла	посла́	Посла̀	v07-source-a71b2b100e8286ec,v07-target-e1bd716a7e4e034f	95	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:9ad04addac00355b30cd9076	Nehem.2.6	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:1fcec13d42bc80192b26c0e9	III_Esdra.6.33	admitted	Explicit third-person subjects independently establish the aorist cell; this row records only the exact lowercase acute surface.
variant:v07:prostre-aor-3sg	exact-form	synodal:verb:v07-a3edec94042e18a0		aorist:third:singular	простре	прострѐ	Простре́	review:v07:eb5acc9fdbf580f4,v07-source-d21c55a98b761acc,v07-target-ed3496b8bb3a5fdb	90	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:ff45a7b9d3ef4077a2c515cb	Judg.3.21	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:c9c25d38d25b0c0e56cb9f3a	II_Kings.24.16	admitted	Named third-person subjects in source and held-out passages confirm the third-singular aorist rather than the syncretic second-singular cell.
variant:v07:dni-loc-sg	exact-form	synodal:noun:day		noun:locative:singular:inanimate	дни	днѝ	Дни̑	review:v05:noun:day,v07-source-8f0da0ac84151bd2,v07-target-0029068b3dadc30d	87	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:7e911ff8c025c03c679bb205	Judg.6.27	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:848e240da06833d44b9d0fad	Heb.3.8	admitted	The temporal во днѝ construction occurs independently in both partitions and confirms the reviewed locative singular cell.
variant:v07:sudi-aor-3sg	exact-form	synodal:verb:v07-f1ef0c305d451c29		aorist:third:singular	сꙋди	сꙋдѝ	Сꙋди́	review:v07:ee230fbb141ffc89,v07-source-b37d0f47d94a4482,v07-target-4772dbb5f116615e	82	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:a17ec8502b6131c236ba1643	Judg.3.10	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:bd544698d1aa9a0ab30eaabb	Job.27.2	admitted	Independent finite narrative clauses establish third-singular aorist readings; the homographic imperative is not admitted by this row.
variant:v07:steny-gen-sg	exact-form	synodal:noun:wikt-929f4ea98ebd		noun:genitive:singular:inanimate	стѣны	стѣны̀	стѣ́ны	v07-source-f0f2a4a1a5d753ab,v07-target-264ae6a72bb8161e	74	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:78cbe70030d6d8c320f6f7af	Nehem.3.8	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:cf968b0225b503a929f2bffc	Judg.16.14	admitted	The source construction до стѣны and held-out construction из стѣны independently govern the reviewed genitive singular cell.
variant:v07:poya-aor-3sg	exact-form	synodal:verb:v06-9eafebde7d74bfcb		aorist:third:singular	поѧ	поѧ̀	Поѧ́	v07-source-20bd7a6c50589eef,v07-target-3d295b6a937882ce	72	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:7e911ff8c025c03c679bb205	Judg.6.27	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:fde3af16f6a98893822e2bcd	Judg.8.16	admitted	Named third-person subjects and direct objects in both passages confirm the reviewed third-singular aorist, not the participial homograph.
variant:v07:desyatiny-acc-pl	exact-form	synodal:noun:v07-14c8473015ffe18c		noun:accusative:plural:inanimate	десѧтины	десѧти̑ны	десѧти́ны	review:v07:6c7464338d4f33c9,v07-source-a5f82a28da308ad8,v07-target-70d1e1ffb336e6ab	72	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:41500071f5921ab024f9dffb	Nehem.12.44	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:81492573c297f878ba0291e9	Heb.7.9	admitted	Both passages use tithes as the governed object of collection or giving, independently confirming the accusative plural cell.
variant:v07:yazyki-instr-pl-kamora	exact-form	synodal:noun:yazyk		noun:instrumental:plural:inanimate	ꙗзыки	ꙗ҆зы̑ки	ꙗ҆зы́ки	v07-source-e064a26ee5b8558a,v07-target-9d053fd4e02f3aaf	70	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:a1d97691c7a48e4bdfe4741c	I_Macc.5.63	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:f6388e3fb7d8187275a15405	Ezek.28.25	admitted	The source and held-out passages independently govern the nation noun with пред as instrumental plural; no other syncretic cell is inferred.
variant:v07:razume-loc-sg	exact-form	synodal:noun:v06-44fe6aceed3a2563		noun:locative:singular:inanimate	разꙋмѣ	ра́зꙋмѣ	Разꙋмѣ́	v07-source-e4a2281cd031ba87,v07-target-efb42eb3ec215f42	126	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:da35a3c20279eeb56a66c138	Col.1.9	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:e6e3050ee16233440e0d6776	Rom.1.28	admitted	Both passages independently govern the noun with въ as locative singular; the verbal homograph is not inferred.
variant:v07:dade-aor-3sg-acute	exact-form	synodal:verb:dati		aorist:third:singular	даде	даде́	дадѐ	alypy-103-dati-aorist	58	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:f3abfc0688998cd868d08b53	Nehem.2.8	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:d7d82a5748a708d48fafc7d9	Sirach.29.18	admitted	Explicit third-person subjects in the source and held-out sentences establish the third-singular aorist and exact final acute surface.
variant:v07:istseli-aor-3sg	exact-form	synodal:verb:wikt-d5e8b80c64e6		aorist:third:singular	исцѣли	и҆сцѣлѝ	и҆сцѣли́	review:v03:d5e8b80c64e6,v07-source-e7e41701b0ef146c,v07-target-6aa0050c5b2f2aba	48	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:5711e2485dbfc2921af820a9	Lk.7.21	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:230b8f84924d2b814dc4f9ee	Lk.14.4	admitted	Both independent narrative clauses have explicit third-person subjects, establishing the aorist rather than the imperative homograph.
variant:v07:ryby-nom-pl	exact-form	synodal:noun:v07-ffc74596d4245eea		noun:nominative:plural:animate	рыбы	ры̑бы	ры́бы	review:v07:4414bb328fcf0ed1,v07-source-82aa913818f88dd4,v07-target-1a13153872920365	48	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:3dabeccd96cf1fd4950639fd	Hos.4.3	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:156d24629094a720ffcad92d	Job.12.8	admitted	The fish noun is independently the plural subject in both passages, confirming the reviewed animate nominative plural cell.
variant:v07:brashna-gen-sg	exact-form	synodal:noun:v06-8469d334b5dc4483		noun:genitive:singular:inanimate	брашна	бра̑шна	бра́шна	review:v06:8469d334b5dc4483,v06-ud-d69dbf25fea9e7c5,v06-target-73cbd2795a13bef0	44	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:844234ea4cca06eabaef501e	Job.6.5	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:84565776fcbfbbae004e12cd	Sirach.29.25	admitted	The source construction with развѣ and held-out comparative with добра independently establish genitive singular food, not a plural cell.
variant:v07:muzhi-instr-pl	exact-form	synodal:noun:man		noun:instrumental:plural:animate	мꙋжи	мꙋ̑жи	мꙋ́жи	v07-source-fbe3da73f413df42,v07-target-666308e9eb2c8eb2	43	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:c8b8ce6bd1bad2fe9cce9b95	Acts.25.23	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:b417e66aef201d40c39ab14a	Nehem.1.2	admitted	Both exact witnesses govern the animate plural noun with съ, independently confirming instrumental plural.
variant:v07:dani-acc-pl	exact-form	synodal:noun:wikt-0cf369042ac9		noun:accusative:plural:inanimate	дани	да̑ни	да́ни	v07-source-f09a68236569d182,v07-target-530c1390792aff29	38	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:13fb62a9bd6757cf226b263a	Nehem.5.4	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:67cdb3c3180a2fe875328bc1	I_Macc.10.29	admitted	The source prepositional object and held-out object of remission independently confirm the accusative plural tax cell.
variant:v07:zhena-nom-sg-acute	exact-form	synodal:noun:zhena		noun:nominative:singular:animate	жена	жена́	жена̀	alypy-39-hard-feminine,v05-target-zhena-variants	36	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:84e000707b237742f3f54607	I_Tim.2.14	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:a551319abf8d4469c35f6c5a	Prov.7.10	admitted	The noun is independently the singular subject in both clauses, confirming the reviewed nominative cell and exact acute surface.
variant:v07:sudite-imp-2pl	exact-form	synodal:verb:v07-f1ef0c305d451c29		imperative:second:plural	сꙋдите	сꙋди́те	сꙋ́дите	review:v07:ee230fbb141ffc89,v07-source-8a52158b153d02c0,v07-target-7411b487263fd5ef	36	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:ed7cd4ae24e99ad3b80e9a67	Acts.4.19	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:a7a29d396a7f735bc93f27a8	Mt.7.1	admitted	Direct commands to plural addressees in both independent passages establish the imperative second plural, not the present homograph.
variant:v07:tsari-loc-sg	exact-form	synodal:noun:tsar		noun:locative:singular:animate	цари	царѝ	цари̑	v07-source-404caa4fe218a998,v07-target-f3272790b996623d	54	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:23c4c346eaf1a6270b7460ff	Esther.1.14	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:c4145229ba643542fe303e5a	III_Macc.1.21	admitted	Both exact passages govern the king noun with при as locative singular; the plural homographs are not inferred.
