lexeme_id	sense_id	expanded_prefix	printed_prefix	rule_id	evidence_id	reversible	required_marks	context_restrictions	ambiguity	source_recension	target_recension
synodal:noun:angel	sense:v05:noun:angel	ангел	а҆гг҃л	SYN-ABBR-FAMILY-ANGEL	alypy-3-abbreviation-inventory	false	initial-breathing,titlo	reverential good-angel identity in any morphologically licensed cell	the untitled evil-spirit sense must remain a separate identity	synodal-russian	synodal-russian
synodal:noun:bog	sense:deity:christian	бог	бг҃	SYN-ABBR-FAMILY-BOG	alypy-3-titlo-abbreviations	false	titlo	Christian-deity identity in any morphologically licensed cell	the untitled idol sense must remain a separate identity	synodal-russian	synodal-russian
synodal:noun:bog	sense:deity:christian	боз	бз҃	SYN-ABBR-FAMILY-BOG	alypy-3-titlo-abbreviations	false	titlo	Christian-deity identity in any morphologically licensed cell	the untitled idol sense must remain a separate identity	synodal-russian	synodal-russian
synodal:noun:father	sense:v05:noun:father	отец	ѻ҆ц҃	SYN-ABBR-FAMILY-FATHER	alypy-3-abbreviation-inventory,alypy-34-father-table	false	initial-breathing,titlo	father or divine-Father identity in any morphologically licensed cell	non-reversible across kinship and divine-title readings without context	synodal-russian	synodal-russian
synodal:noun:father	sense:v05:noun:father	отц	ѻ҆ц҃	SYN-ABBR-FAMILY-FATHER	alypy-3-abbreviation-inventory,alypy-34-father-table	false	initial-breathing,titlo	father or divine-Father identity in any morphologically licensed cell	non-reversible across kinship and divine-title readings without context	synodal-russian	synodal-russian
synodal:noun:father	sense:v05:noun:father	отч	ѻ҆ч҃	SYN-ABBR-FAMILY-FATHER	alypy-3-abbreviation-inventory,alypy-34-father-table	false	initial-breathing,titlo	father or divine-Father identity in any morphologically licensed cell	non-reversible across kinship and divine-title readings without context	synodal-russian	synodal-russian
synodal:noun:kingdom	sense:v05:noun:kingdom	царс	црⷭ҇	SYN-ABBR-FAMILY-KINGDOM	alypy-3-abbreviation-inventory	false	titlo,superscript-s,pokrytie	kingdom identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:noun:milost	sense:mercy	милос	млⷭ҇	SYN-ABBR-FAMILY-MILOST	alypy-3-abbreviation-inventory	false	titlo,superscript-s,pokrytie	mercy identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:noun:spirit	sense:v05:noun:spirit	дꙋх	дх҃	SYN-ABBR-FAMILY-SPIRIT	alypy-3-abbreviation-inventory	false	titlo	reverential Spirit identity in any morphologically licensed cell	untitled lexical senses remain separate semantic identities	synodal-russian	synodal-russian
synodal:noun:syn	sense:son	сын	сн҃	SYN-ABBR-FAMILY-SON	alypy-3-abbreviation-inventory	false	titlo	son identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:noun:tsar	sense:king	цар	цр҃	SYN-ABBR-FAMILY-TSAR	alypy-3-abbreviation-inventory,alypy-34-rab	false	titlo	king identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:noun:v06-israel	sense:v06:israel	израи	і҆и҃	SYN-ABBR-FAMILY-ISRAEL-NOUN	v06-manual-alypy-israel	false	initial-breathing,titlo	Israel proper-name identity in any morphologically licensed cell	noun and adjective contractions remain separate semantic identities	synodal-russian	synodal-russian
synodal:noun:v07-15ca6aa83f100698	sense:v07:f01d302f7bd91a58	цер	цр҃	SYN-ABBR-FAMILY-CHURCH	alypy-3-abbreviation-inventory,review:v07:f01d302f7bd91a58	false	titlo	church identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:noun:v07-e9a3939d37e191d7	sense:v07:3a020b19a457a576	благода	блгⷣ	SYN-ABBR-FAMILY-GRACE	alypy-3-abbreviation-inventory,review:v07:3a020b19a457a576	false	titlo,superscript-d	grace identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:noun:wikt-34a574308ceb	sense:v03:34a574308ceb	гла	гл҃	SYN-ABBR-FAMILY-GLAGOL-NOUN	alypy-3-glagol-abbreviation	false	titlo	lexical noun глаголъ identity in any morphologically licensed cell	must not be confused with verbal гл҃- forms	synodal-russian	synodal-russian
synodal:noun:wikt-7790891c2704	sense:v03:7790891c2704	небес	нб҃с	SYN-ABBR-FAMILY-HEAVEN	alypy-3-abbreviation-inventory	false	titlo	heaven or sky identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:noun:wikt-7790891c2704	sense:v03:7790891c2704	небо	нб҃о	SYN-ABBR-FAMILY-HEAVEN	alypy-3-abbreviation-inventory	false	titlo	heaven or sky identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:noun:wikt-803addd320b1	sense:v03:803addd320b1	про	прⷪ҇	SYN-ABBR-FAMILY-PROPHET	alypy-3-abbreviation-inventory	false	titlo,superscript-o,pokrytie	prophet identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:noun:wikt-a0a33dfa77c7	sense:v03:a0a33dfa77c7	мат	мт҃	SYN-ABBR-FAMILY-MATI	alypy-3-abbreviation-inventory,alypy-43-mati-table	false	titlo	mother identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:noun:wikt-ed67a3345df1	sense:v03:ed67a3345df1	господ	гдⷭ҇	SYN-ABBR-FAMILY-GOSPOD	alypy-3-titlo-abbreviations	false	titlo,superscript-s,pokrytie	reverential Lord or master identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:proper-noun:christ	sense:v05:proper-noun:christ	хрис	хрⷭ҇	SYN-ABBR-FAMILY-CHRIST	alypy-3-abbreviation-inventory	false	titlo,superscript-s,pokrytie	Christ or anointed-person title in any morphologically licensed cell	contraction alone does not identify a bearer outside context	synodal-russian	synodal-russian
synodal:proper-noun:jerusalem	sense:v05:proper-noun:jerusalem	іерꙋса	і҆ерⷭ҇	SYN-ABBR-FAMILY-JERUSALEM	alypy-3-jerusalem-abbreviation	false	initial-breathing,titlo,superscript-s,pokrytie	biblical place Jerusalem in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:proper-noun:jesus	sense:v05:proper-noun:jesus	іисꙋ	і҆и҃	SYN-ABBR-FAMILY-JESUS	alypy-3-jesus-abbreviation	false	initial-breathing,titlo	biblical masculine proper name Jesus or Joshua in any morphologically licensed cell	non-reversible across bearers without semantic context	synodal-russian	synodal-russian
synodal:verb:wikt-833c90610c4d	sense:v03:833c90610c4d	глагол	гл҃	SYN-ABBR-FAMILY-GLAGOL-VERB	alypy-3-abbreviation-inventory	false	titlo	lexical verb глаголати in any morphologically licensed system and cell	must not be confused with nominal гл҃гол- forms	synodal-russian	synodal-russian
synodal:noun:molitva	sense:prayer	моли	мл҃	SYN-ABBR-FAMILY-MOLITVA	alypy-3-abbreviation-inventory	false	titlo	prayer noun identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:noun:apostol	sense:title:apostle	апосто	а҆пⷭ҇	SYN-ABBR-FAMILY-APOSTOL	alypy-3-abbreviation-inventory	false	initial-breathing,titlo,superscript-s,pokrytie	apostle-title identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:noun:miloserdie	sense:mercy-compassion	милосе	млⷭ҇	SYN-ABBR-FAMILY-MILOSERDIE	alypy-3-abbreviation-inventory	false	titlo,superscript-s,pokrytie	mercy or compassion noun identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:noun:muchenik	sense:title:martyr	мꙋче	мч҃	SYN-ABBR-FAMILY-MUCHENIK	alypy-3-abbreviation-inventory	false	titlo	martyr-title identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:noun:nedelya	sense:week-sunday	недѣл	нлⷣ	SYN-ABBR-FAMILY-NEDELYA	alypy-3-abbreviation-inventory	false	titlo,superscript-d	week or Sunday noun identity in any morphologically licensed cell	non-reversible across calendar senses without context	synodal-russian	synodal-russian
synodal:noun:pravednik	sense:righteous-person	правед	првⷣ	SYN-ABBR-FAMILY-PRAVEDNIK	alypy-3-abbreviation-inventory	false	titlo,superscript-d	righteous-person identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:noun:bogoroditsa	sense:title:theotokos	богородиц	бцⷣ	SYN-ABBR-FAMILY-BOGORODITSA	alypy-3-abbreviation-inventory	false	titlo,superscript-d	Theotokos-title identity in any morphologically licensed cell	generic birth-giver senses remain outside this family	synodal-russian	synodal-russian
synodal:noun:resurrection	sense:resurrection	воскресе	воскрⷭ҇	SYN-ABBR-FAMILY-RESURRECTION	alypy-3-abbreviation-inventory	false	titlo,superscript-s,pokrytie	resurrection noun identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:noun:prestol	sense:throne-altar	прес	прⷭ҇	SYN-ABBR-FAMILY-PRESTOL	alypy-3-abbreviation-inventory	false	titlo,superscript-s,pokrytie	throne or altar noun identity in any morphologically licensed cell	non-reversible across senses without context	synodal-russian	synodal-russian
synodal:noun:vladyka	sense:title:vladyka	влады	влⷣ	SYN-ABBR-FAMILY-VLADYKA	alypy-3-abbreviation-inventory	false	titlo,superscript-d	Lord, master, or bishop-title identity in any morphologically licensed cell	non-reversible across title bearers without context	synodal-russian	synodal-russian
synodal:noun:vladychitsa	sense:title:lady	владычи	влⷣч	SYN-ABBR-FAMILY-VLADYCHITSA	alypy-3-abbreviation-inventory	false	titlo,superscript-d	Lady or Theotokos-title identity in any morphologically licensed cell	non-reversible across title bearers without context	synodal-russian	synodal-russian
synodal:noun:svyatitel	sense:title:hierarch	свѧт	ст҃	SYN-ABBR-FAMILY-SVYATITEL	alypy-3-abbreviation-inventory	false	titlo	hierarch or saint-title identity in any morphologically licensed cell	must not be confused with the holy adjective family	synodal-russian	synodal-russian
synodal:noun:deva-title	sense:title:virgin-theotokos	дѣв	дв҃	SYN-ABBR-FAMILY-DEVA	alypy-3-abbreviation-inventory	false	titlo	reverential Virgin-title identity in any morphologically licensed cell	generic maiden senses remain outside this family	synodal-russian	synodal-russian
synodal:noun:spas-title	sense:title:savior	спас	сп҃с	SYN-ABBR-FAMILY-SPAS	alypy-3-abbreviation-inventory	false	titlo	Savior-title identity in any morphologically licensed cell	generic rescuer senses remain outside this family	synodal-russian	synodal-russian
synodal:noun:episkop	sense:title:bishop	єпис	є҆пⷭ҇	SYN-ABBR-FAMILY-EPISKOP	alypy-3-abbreviation-inventory	false	initial-breathing,titlo,superscript-s,pokrytie	bishop-title identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:noun:troitsa	sense:trinity-christian	трои	трⷪ҇	SYN-ABBR-FAMILY-TROITSA	alypy-3-abbreviation-inventory	false	titlo,superscript-o,pokrytie	Christian-Trinity identity in any morphologically licensed cell	generic triad senses remain outside this family	synodal-russian	synodal-russian
synodal:noun:evangelie	sense:gospel	єѵанге	є҆ѵⷢ҇	SYN-ABBR-FAMILY-EVANGELIE	alypy-3-abbreviation-inventory	false	initial-breathing,titlo,superscript-g,pokrytie	Gospel book or message identity in any morphologically licensed cell	non-reversible across book and message readings without context	synodal-russian	synodal-russian
synodal:noun:krest	sense:cross-religious	крес	крⷭ҇	SYN-ABBR-FAMILY-KREST	alypy-3-abbreviation-inventory	false	titlo,superscript-s,pokrytie	Christian cross identity in any morphologically licensed cell	unrelated crossing senses remain outside this family	synodal-russian	synodal-russian
synodal:noun:krestitel	sense:title:baptist	крес	крⷭ҇	SYN-ABBR-FAMILY-KRESTITEL	alypy-3-abbreviation-inventory	false	titlo,superscript-s,pokrytie	Baptist-title identity in any morphologically licensed cell	must not be confused with the cross noun family	synodal-russian	synodal-russian
synodal:noun:mary	sense:proper:mary	мар	мр҃	SYN-ABBR-FAMILY-MARY	alypy-3-abbreviation-inventory	false	titlo	Mary proper-name identity in any morphologically licensed cell	non-reversible without the personal-name identity	synodal-russian	synodal-russian
synodal:noun:mary	sense:proper:mary	маріа	мр҃і́ѧ	SYN-ABBR-FAMILY-MARY	alypy-3-abbreviation-inventory	false	titlo	Mary proper-name identity in any morphologically licensed cell	non-reversible without the personal-name identity	synodal-russian	synodal-russian
synodal:noun:mesyats	sense:v13:noun:mesyats	мѣсѧц	мцⷭ҇	SYN-ABBR-FAMILY-MESYATS	ponomar-sci-mesyats-semantic,ponomar-amos-8-5-mesyats-nominative-singular,ponomar-baruch-1-2-mesyatsa-genitive-singular	false	titlo,superscript-s,pokrytie	month or moon identity in morphologically licensed noun cells	non-reversible without lexical identity and a typed grammatical cell	synodal-russian	synodal-russian
