id	lexeme_id	sense_id	cell	expected_expanded	expected_printed	source_id	passage	regularity
eval:v05:abbr:bozhii-iikh	synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:genitive:plural:neuter:inanimate:short:positive	божїихъ	бж҃їихъ	ponomar-elizabeth-bible-2026-08-09	Eccles.11.5	typed-abbreviation-held-out
eval:v05:abbr:bozhii-iim	synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:instrumental:singular:masculine:inanimate:short:positive	божїимъ	бж҃їимъ	ponomar-elizabeth-bible-2026-08-09	Apoc.14.5	typed-abbreviation-held-out
eval:v05:abbr:bozhii-iya	synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:accusative:singular:masculine:animate:short:positive	божїѧ	бж҃їѧ	ponomar-elizabeth-bible-2026-08-09	Acts.10.3	typed-abbreviation-held-out
eval:v05:abbr:bozhii-iyu	synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:accusative:singular:feminine:inanimate:short:positive	божїю	бж҃їю	ponomar-elizabeth-bible-2026-08-09	Acts.20.27	typed-abbreviation-held-out
eval:v05:abbr:bozhii-nom	synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:nominative:singular:masculine:inanimate:short:positive	божїй	бж҃їй	ponomar-elizabeth-bible-2026-08-09	Acts.8.20	typed-abbreviation-held-out
eval:v05:abbr:christ-nom	synodal:proper-noun:christ	sense:v05:proper-noun:christ	noun:nominative:singular:animate	христосъ	хрⷭ҇то́съ	ponomar-elizabeth-bible-2026-08-09	Col.3.13	typed-abbreviation-held-out
eval:v05:abbr:father-nom	synodal:noun:father	sense:v05:noun:father	noun:nominative:singular:animate	отецъ	ѻ҆ц҃ъ	ponomar-elizabeth-bible-2026-08-09	I_Cor.8.6	typed-abbreviation-held-out
eval:v05:abbr:glagol-aor-1sg	synodal:verb:wikt-833c90610c4d	sense:v03:833c90610c4d	aorist:first:singular	глаголахъ	гл҃ахъ	ponomar-elizabeth-bible-2026-08-09	Ex.23.13	typed-abbreviation-held-out
eval:v05:abbr:glagol-aor-3sg	synodal:verb:wikt-833c90610c4d	sense:v03:833c90610c4d	aorist:third:singular	глагола	гл҃а	ponomar-elizabeth-bible-2026-08-09	Acts.3.21	typed-abbreviation-held-out
eval:v05:abbr:glagol-impf-1sg	synodal:verb:wikt-833c90610c4d	sense:v03:833c90610c4d	imperfect:first:singular	глаголахъ	гл҃ахъ	ponomar-elizabeth-bible-2026-08-09	Ex.23.13	typed-abbreviation-held-out
eval:v05:abbr:glagol-impf-3sg	synodal:verb:wikt-833c90610c4d	sense:v03:833c90610c4d	imperfect:third:singular	глаголаше	гл҃аше	ponomar-elizabeth-bible-2026-08-09	III_Esdra.9.4	typed-abbreviation-held-out
eval:v05:abbr:glagol-lpart	synodal:verb:wikt-833c90610c4d	sense:v03:833c90610c4d	l-participle:masculine:singular	глаголалъ	гл҃алъ	ponomar-elizabeth-bible-2026-08-09	Baruch.2.24	typed-abbreviation-held-out
eval:v05:abbr:glagol-noun-nom	synodal:noun:wikt-34a574308ceb	sense:v03:34a574308ceb	noun:nominative:singular:inanimate	глаголъ	гл҃го́лъ	ponomar-elizabeth-bible-2026-08-09	Ex.9.6	typed-abbreviation-held-out
eval:v05:abbr:glagol-participle	synodal:verb:wikt-833c90610c4d	sense:v03:833c90610c4d	participle:present:active:nominative:singular:masculine:animate:short:positive	глаголѧ	гл҃ѧ	ponomar-elizabeth-bible-2026-08-09	Acts.1.3	typed-abbreviation-held-out
eval:v05:abbr:glagol-pres-1sg	synodal:verb:wikt-833c90610c4d	sense:v03:833c90610c4d	present:first:singular	глаголю	гл҃ю	ponomar-elizabeth-bible-2026-08-09	Ex.6.29	typed-abbreviation-held-out
eval:v05:abbr:glagol-pres-3sg	synodal:verb:wikt-833c90610c4d	sense:v03:833c90610c4d	present:third:singular	глаголетъ	гл҃етъ	ponomar-elizabeth-bible-2026-08-09	Amos.1.9	typed-abbreviation-held-out
eval:v05:abbr:gospod-cap	synodal:noun:wikt-ed67a3345df1	sense:v03:ed67a3345df1	noun:nominative:singular:animate	господь	Гдⷭ҇ь	ponomar-elizabeth-bible-2026-08-09	Deut.5.2	typed-abbreviation-held-out
eval:v05:abbr:gospoden	synodal:adjective:gospoden	sense:v05:adjective:gospoden	adjective:nominative:singular:masculine:animate:short:positive	господень	гдⷭ҇ень	ponomar-elizabeth-bible-2026-08-09	Acts.5.19	typed-abbreviation-held-out
eval:v05:abbr:gospoden-ne	synodal:adjective:gospoden	sense:v05:adjective:gospoden	adjective:nominative:singular:neuter:inanimate:short:positive	господне	гдⷭ҇не	ponomar-elizabeth-bible-2026-08-09	Ezek.3.16	typed-abbreviation-held-out
eval:v05:abbr:gospoden-ni	synodal:adjective:gospoden	sense:v05:adjective:gospoden	adjective:nominative:plural:masculine:animate:short:positive	господни	гдⷭ҇ни	ponomar-elizabeth-bible-2026-08-09	Dan.3.58	typed-abbreviation-held-out
eval:v05:abbr:gospoden-nikh	synodal:adjective:gospoden	sense:v05:adjective:gospoden	adjective:genitive:plural:masculine:animate:short:positive	господнихъ	гдⷭ҇нихъ	ponomar-elizabeth-bible-2026-08-09	II_Kings.12.14	typed-abbreviation-held-out
eval:v05:abbr:gospoden-nim	synodal:adjective:gospoden	sense:v05:adjective:gospoden	adjective:instrumental:singular:neuter:inanimate:short:positive	господнимъ	гдⷭ҇нимъ	ponomar-elizabeth-bible-2026-08-09	III_Kings.13.5	typed-abbreviation-held-out
eval:v05:abbr:gospoden-nya	synodal:adjective:gospoden	sense:v05:adjective:gospoden	adjective:nominative:singular:feminine:inanimate:short:positive	господнѧ	гдⷭ҇нѧ	ponomar-elizabeth-bible-2026-08-09	Deut.32.9	typed-abbreviation-held-out
eval:v05:abbr:gospoden-nyu	synodal:adjective:gospoden	sense:v05:adjective:gospoden	adjective:accusative:singular:feminine:inanimate:short:positive	господню	гдⷭ҇ню	ponomar-elizabeth-bible-2026-08-09	Ex.12.48	typed-abbreviation-held-out
eval:v05:abbr:heaven-loc	synodal:noun:wikt-7790891c2704	sense:v03:7790891c2704	noun:locative:singular:inanimate	небеси	нб҃сѝ	ponomar-elizabeth-bible-2026-08-09	Acts.3.21	typed-abbreviation-held-out
eval:v05:abbr:holy-gen	synodal:adjective:svyat	sense:holy	adjective:genitive:singular:masculine:animate:long:positive	свѧтаго	ст҃а́го	ponomar-elizabeth-bible-2026-08-09	Acts.15.8	typed-abbreviation-held-out
eval:v05:abbr:jerusalem-acc	synodal:proper-noun:jerusalem	sense:v05:proper-noun:jerusalem	noun:accusative:singular:inanimate	іерꙋсалимъ	і҆ерⷭ҇ли́мъ	ponomar-elizabeth-bible-2026-08-09	Acts.1.12	typed-abbreviation-held-out
eval:v05:abbr:jerusalem-gen	synodal:proper-noun:jerusalem	sense:v05:proper-noun:jerusalem	noun:genitive:singular:inanimate	іерꙋсалима	і҆ерⷭ҇ли́ма	ponomar-elizabeth-bible-2026-08-09	Acts.8.26	typed-abbreviation-held-out
eval:v05:abbr:jerusalem-loc	synodal:proper-noun:jerusalem	sense:v05:proper-noun:jerusalem	noun:locative:singular:inanimate	іерꙋсалимѣ	і҆ерⷭ҇ли́мѣ	ponomar-elizabeth-bible-2026-08-09	Acts.1.8	typed-abbreviation-held-out
eval:v05:abbr:kingdom-gen	synodal:noun:kingdom	sense:v05:noun:kingdom	noun:genitive:singular:inanimate	царствїѧ	црⷭ҇твїѧ	ponomar-elizabeth-bible-2026-08-09	I_Cor.6.9	typed-abbreviation-held-out
eval:v05:abbr:mercy-gen	synodal:noun:milost	sense:mercy	noun:genitive:singular:inanimate	милости	млⷭ҇ти	ponomar-elizabeth-bible-2026-08-09	III_Esdra.2.31	typed-abbreviation-held-out
eval:v05:abbr:prophet-gen	synodal:noun:wikt-803addd320b1	sense:v03:803addd320b1	noun:genitive:singular:animate	пророка	прⷪ҇ро́ка	ponomar-elizabeth-bible-2026-08-09	Acts.8.30	typed-abbreviation-held-out
eval:v05:abbr:spirit-ins	synodal:noun:spirit	sense:v05:noun:spirit	noun:instrumental:singular:animate	дꙋхомъ	дх҃омъ	ponomar-elizabeth-bible-2026-08-09	Acts.1.2	typed-abbreviation-held-out
eval:v06:abbr:angel-lower-nom	synodal:noun:angel	sense:v05:noun:angel	noun:nominative:singular:animate	ангелъ	а҆́гг҃лъ	ponomar-elizabeth-bible-2026-08-09	Acts.7.30	v06-typed-abbreviation-held-out
eval:v06:abbr:israel:adj-dat-pl	synodal:adjective:v06-israel	sense:v06:israel-adjective	adjective:dative:plural:masculine:any:long:positive	израилєвымъ	і҆и҃лєвымъ	ponomar-elizabeth-bible-2026-08-09	Ex.3.14	v06-held-out-israel-contraction
eval:v06:abbr:israel:adj-dat-sg	synodal:adjective:v06-israel	sense:v06:israel-adjective	adjective:dative:singular:masculine:any:short:positive	израилевꙋ	і҆и҃левꙋ	ponomar-elizabeth-bible-2026-08-09	Ezek.20.38	v06-held-out-israel-contraction
eval:v06:abbr:israel:adj-gen-pl	synodal:adjective:v06-israel	sense:v06:israel-adjective	adjective:genitive:plural:masculine:any:long:positive	израилевыхъ	і҆и҃левыхъ	ponomar-elizabeth-bible-2026-08-09	Composite.6.3	v06-held-out-israel-contraction
eval:v06:abbr:israel:adj-nom-pl	synodal:adjective:v06-israel	sense:v06:israel-adjective	adjective:nominative:plural:masculine:any:short:positive	израилєвы	і҆и҃лєвы	ponomar-elizabeth-bible-2026-08-09	Amos.7.9	v06-held-out-israel-contraction
eval:v06:abbr:israel:adj-nom-sg-f	synodal:adjective:v06-israel	sense:v06:israel-adjective	adjective:nominative:singular:feminine:any:short:positive	израилева	і҆и҃лева	ponomar-elizabeth-bible-2026-08-09	Amos.1.1	v06-held-out-israel-contraction
eval:v06:abbr:israel:adj-nom-sg-m	synodal:adjective:v06-israel	sense:v06:israel-adjective	adjective:nominative:singular:masculine:any:short:positive	израилевъ	і҆и҃левъ	wikisource-church-slavonic-bible-2026-08-09	Amos.3.1	v06-held-out-israel-contraction
eval:v06:abbr:israel:noun-dat-sg	synodal:noun:v06-israel	sense:v06:israel	noun:dative:singular:animate	израилю	і҆и҃лю	ponomar-elizabeth-bible-2026-08-09	Baruch.3.37	v06-held-out-israel-contraction
eval:v06:abbr:israel:noun-gen-sg	synodal:noun:v06-israel	sense:v06:israel	noun:genitive:singular:animate	израилѧ	і҆и҃лѧ	ponomar-elizabeth-bible-2026-08-09	Amos.7.15	v06-held-out-israel-contraction
eval:v06:abbr:israel:noun-ins-sg	synodal:noun:v06-israel	sense:v06:israel	noun:instrumental:singular:animate	израилемъ	і҆и҃лемъ	ponomar-elizabeth-bible-2026-08-09	Deut.31.11	v06-held-out-israel-contraction
eval:v06:abbr:israel:noun-loc-sg	synodal:noun:v06-israel	sense:v06:israel	noun:locative:singular:animate	израили	і҆и҃ли	ponomar-elizabeth-bible-2026-08-09	Composite.4.13	v06-held-out-israel-contraction
eval:v06:abbr:israel:noun-nom-sg	synodal:noun:v06-israel	sense:v06:israel	noun:nominative:singular:animate	израиль	і҆и҃ль	ponomar-elizabeth-bible-2026-08-09	Deut.31.11	v06-held-out-israel-contraction
eval:v06:abbr:jesus-capital-nom	synodal:proper-noun:jesus	sense:v05:proper-noun:jesus	noun:nominative:singular:animate	іисꙋсъ	І҆и҃съ	ponomar-elizabeth-bible-2026-08-09	Jn.5.17	v06-typed-abbreviation-held-out
eval:v06:abbr:nynye	synodal:adverb:nynye	sense:v06:adverb:nynye	indeclinable	нынѣ	нн҃ѣ	ponomar-elizabeth-bible-2026-08-09	Acts.7.34	v06-typed-abbreviation-held-out
eval:v06:abbr:son-nom	synodal:noun:syn	sense:son	noun:nominative:singular:animate	сынъ	сн҃ъ	ponomar-elizabeth-bible-2026-08-09	Dan.7.13	v06-typed-abbreviation-held-out
